# IsPeriodic    : True
# Period        : 0.359680 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.749 -0.251 -0.196 -0.122 -0.018 -0.018
0.00071936 0.749 -0.251 -0.196 -0.122 -0.018 -0.018
0.00143872 0.749 -0.251 -0.196 -0.122 -0.018 -0.018
0.00215808 0.749 -0.251 -0.196 -0.121 -0.018 -0.018
0.00287744 0.749 -0.250 -0.196 -0.121 -0.018 -0.018
0.0035968 0.749 -0.250 -0.196 -0.121 -0.018 -0.018
0.00431616 0.750 -0.250 -0.196 -0.121 -0.018 -0.018
0.00503552 0.750 -0.250 -0.196 -0.120 -0.018 -0.018
0.00575488 0.750 -0.249 -0.196 -0.120 -0.017 -0.017
0.00647424 0.750 -0.249 -0.196 -0.120 -0.017 -0.017
0.0071936 0.751 -0.249 -0.196 -0.119 -0.017 -0.017
0.00791296 0.751 -0.248 -0.195 -0.119 -0.017 -0.017
0.00863232 0.752 -0.248 -0.195 -0.118 -0.017 -0.017
0.00935168 0.752 -0.247 -0.195 -0.118 -0.016 -0.016
0.010071 0.753 -0.247 -0.195 -0.117 -0.016 -0.016
0.0107904 0.753 -0.246 -0.195 -0.117 -0.016 -0.016
0.0115098 0.754 -0.246 -0.195 -0.116 -0.016 -0.016
0.0122291 0.754 -0.245 -0.195 -0.115 -0.015 -0.015
0.0129485 0.755 -0.245 -0.195 -0.115 -0.015 -0.015
0.0136678 0.756 -0.244 -0.194 -0.114 -0.015 -0.015
0.0143872 0.757 -0.243 -0.194 -0.113 -0.014 -0.014
0.0151066 0.757 -0.243 -0.194 -0.112 -0.014 -0.014
0.0158259 0.759 -0.242 -0.194 -0.112 -0.014 -0.014
0.0165453 0.759 -0.241 -0.194 -0.111 -0.013 -0.013
0.0172646 0.760 -0.240 -0.193 -0.110 -0.013 -0.013
0.017984 0.761 -0.240 -0.193 -0.109 -0.012 -0.012
0.0187034 0.762 -0.239 -0.193 -0.109 -0.012 -0.012
0.0194227 0.763 -0.238 -0.192 -0.108 -0.011 -0.011
0.0201421 0.765 -0.237 -0.192 -0.108 -0.011 -0.011
0.0208614 0.765 -0.236 -0.192 -0.107 -0.010 -0.010
0.0215808 0.767 -0.235 -0.191 -0.106 -0.009 -0.009
0.0223002 0.768 -0.234 -0.191 -0.105 -0.009 -0.009
0.0230195 0.769 -0.233 -0.190 -0.105 -0.008 -0.008
0.0237389 0.771 -0.232 -0.190 -0.104 -0.008 -0.008
0.0244582 0.772 -0.231 -0.189 -0.103 -0.007 -0.007
0.0251776 0.773 -0.230 -0.188 -0.103 -0.007 -0.007
0.025897 0.775 -0.229 -0.188 -0.102 -0.006 -0.006
0.0266163 0.776 -0.228 -0.187 -0.101 -0.005 -0.005
0.0273357 0.777 -0.226 -0.186 -0.100 -0.005 -0.005
0.028055 0.779 -0.225 -0.186 -0.100 -0.004 -0.004
0.0287744 0.780 -0.224 -0.185 -0.099 -0.003 -0.003
0.0294938 0.782 -0.223 -0.184 -0.098 -0.003 -0.003
0.0302131 0.784 -0.222 -0.183 -0.097 -0.002 -0.002
0.0309325 0.785 -0.220 -0.182 -0.097 -0.002 -0.002
0.0316518 0.787 -0.219 -0.181 -0.096 -0.001 -0.001
0.0323712 0.788 -0.218 -0.180 -0.095 -0.000 -0.000
0.0330906 0.790 -0.216 -0.179 -0.095 0.000 0.000
0.0338099 0.791 -0.215 -0.178 -0.094 0.001 0.001
0.0345293 0.793 -0.214 -0.177 -0.093 0.002 0.002
0.0352486 0.794 -0.212 -0.176 -0.093 0.003 0.003
0.035968 0.796 -0.211 -0.175 -0.092 0.003 0.003
0.0366874 0.797 -0.209 -0.173 -0.091 0.004 0.004
0.0374067 0.799 -0.208 -0.172 -0.090 0.004 0.004
0.0381261 0.801 -0.206 -0.171 -0.090 0.005 0.005
0.0388454 0.802 -0.205 -0.170 -0.089 0.006 0.006
0.0395648 0.804 -0.203 -0.168 -0.088 0.007 0.007
0.0402842 0.805 -0.202 -0.167 -0.087 0.007 0.007
0.0410035 0.807 -0.200 -0.165 -0.087 0.008 0.008
0.0417229 0.808 -0.198 -0.164 -0.086 0.009 0.009
0.0424422 0.810 -0.197 -0.163 -0.085 0.009 0.009
0.0431616 0.811 -0.195 -0.161 -0.084 0.010 0.010
0.043881 0.813 -0.193 -0.160 -0.084 0.011 0.011
0.0446003 0.815 -0.192 -0.158 -0.083 0.012 0.012
0.0453197 0.816 -0.190 -0.157 -0.082 0.012 0.012
0.046039 0.818 -0.188 -0.155 -0.081 0.013 0.013
0.0467584 0.819 -0.186 -0.154 -0.080 0.014 0.014
0.0474778 0.821 -0.185 -0.152 -0.080 0.015 0.015
0.0481971 0.822 -0.183 -0.151 -0.079 0.015 0.015
0.0489165 0.824 -0.181 -0.149 -0.078 0.016 0.016
0.0496358 0.826 -0.179 -0.148 -0.077 0.017 0.017
0.0503552 0.828 -0.177 -0.146 -0.076 0.018 0.018
0.0510746 0.829 -0.175 -0.144 -0.075 0.019 0.019
